id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52891756,Guest suite in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,58982951,Anthony,,Ward 71,-34.04413,18.4286,Entire home/apt,950,2,20,2023-04-11,1.08,1,126,7,
52891993,Rental unit in Cape Town · ★4.44 · 2 bedrooms · 3 beds · 2 baths,428218646,Propr,,Ward 77,-33.923789,18.410576,Entire home/apt,1207,2,34,2023-06-20,1.70,1,343,13,
52894483,Condo in Cape Town · 1 bedroom · 1 bed · 1 private bath,226812958,Gregory,,Ward 74,-34.04387,18.34963,Private room,822,3,0,,,1,0,0,
52896125,Cottage in Cape Town · ★New · 2 bedrooms · 3 beds · 1 bath,28646474,Cindy,,Ward 100,-34.15067,18.86146,Entire home/apt,1119,2,0,,,2,205,0,
52902140,Home in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,428287766,R,,Ward 115,-33.92879,18.43686,Private room,650,3,5,2023-02-08,0.25,3,365,1,
52908111,Home in Cape Town · 5 bedrooms · 5 beds · 5 baths,36188442,Rory & Barbara,,Ward 54,-33.92878,18.3853,Entire home/apt,64837,12,0,,,9,180,0,
52908380,Rental unit in Cape Town · ★5.0 · 1 bedroom · 1 bed · 1 bath,262997920,Zelda,,Ward 115,-33.91026,18.41838,Entire home/apt,2150,2,3,2023-02-03,0.17,3,289,1,
52909164,Rental unit in Cape Town · ★3.67 · 1 bedroom · 1 bed · 1 bath,3961453,HostAgents,,Ward 115,-33.920322,18.424183,Entire home/apt,1450,2,3,2022-02-27,0.18,147,222,0,
52909624,Condo in Cape Town · ★5.0 · 4 bedrooms · 5 beds · 4.5 baths,3929808,Lavinia,,Ward 54,-33.95518,18.37825,Entire home/apt,18000,4,12,2023-06-18,0.59,18,317,10,
52909891,Guesthouse in Cape Town · 1 bedroom · 2 beds · 1.5 baths,44015147,Joerg,,Ward 15,-34.05626,18.83023,Private room,1100,1,1,2022-03-27,0.07,4,0,0,
52909892,Guesthouse in Cape Town · 1 bedroom · 1 bed · 1.5 baths,44015147,Joerg,,Ward 15,-34.05511,18.83105,Private room,995,1,1,2022-09-25,0.11,4,0,1,
52909893,Chalet in Cape Town · 1 bedroom · 3 beds · 1.5 baths,44015147,Joerg,,Ward 15,-34.05732,18.82941,Private room,1650,1,2,2022-01-09,0.11,4,0,0,
52909894,Guesthouse in Cape Town · 1 bedroom · 1 bed · 1.5 baths,44015147,Joerg,,Ward 15,-34.05693,18.82951,Private room,1100,1,2,2021-12-30,0.11,4,0,0,
52910610,Bed and breakfast in Cape Town · 2 bedrooms · 5 beds · 1 private bath,390188508,Pieter,,Ward 83,-34.11489,18.82578,Private room,2200,1,1,2022-10-23,0.12,11,0,1,
